Year,Country,GDP,GDP per capita,Population,Government expenditure on education,Expenditure on tertiary education,"School enrollment, tertiary",Continent
2019,Northern Mariana Islands,1181000000,23687.27185,49858.0,..,..,..,Oceania
2019,Norway,4.08743E+11,76430.58895,5347896.0,10.87436867,..,85.76338196,Europe
2019,Palau,281828704.8,15730.55955,17916.0,..,..,..,Oceania
2019,Panama,69721787500,16472.83175,4232532.0,9.112000465,..,..,North America
2019,Papua New Guinea,24751066911,2593.775554,9542486.0,..,..,..,Oceania
2019,Paraguay,37925338329,5807.838794,6530026.0,..,..,..,South America
2019,Peru,2.28346E+11,6956.495749,32824861.0,17.76287079,..,..,South America
2019,Poland,5.96058E+11,15700.01358,37965475.0,11.98780537,..,70.90650177,Europe
2019,Portugal,2.39987E+11,23330.81729,10286263.0,10.52925491,..,65.93405151,Europe
2019,Puerto Rico,1.05126E+11,32916.8668,3193694.0,..,..,..,North America
2019,Romania,2.51018E+11,12957.99911,19371648.0,10.08806038,..,52.43938065,Europe
2019,Russian Federation,1.69312E+12,11447.70117,145453291.0,9.285696983,..,83.32849121,Europe
2019,Rwanda,10349299856,806.332472,12835028.0,10.99800014,..,6.058100224,Africa
2019,Samoa,912950466.1,4308.300729,211905.0,15.59599972,..,13.12300014,Oceania
2019,San Marino,1616188702,47287.39839,34178.0,8.907902718,..,49.67966843,Europe
2019,Sao Tome and Principe,412976064.5,1924.40815,214599.0,17.59199905,..,..,Africa
2019,Senegal,23403995992,1462.678353,16000781.0,18.73500061,..,13.3833704,Africa
2019,Serbia,51514242939,7417.206608,6945235.0,8.604599953,..,69.04138184,Europe
2019,Seychelles,1868690097,19141.51187,97625.0,6.105577469,..,16.35396004,Africa
2019,Sierra Leone,4076578699,506.6069138,8046828.0,35.00999832,..,..,Africa
2019,Sint Maarten (Dutch part),1407880447,35509.49473,39648.0,..,..,..,North America
2019,Slovak Republic,1.05712E+11,19381.89055,5454147.0,10.47099113,..,48.19023895,Europe
2019,Slovenia,54386654314,26042.44635,2088385.0,12.5714798,..,76.47200775,Europe
2019,Solomon Islands,1619155017,2398.77305,674993.0,..,..,..,Oceania
2019,Somalia,9420431258,589.4658919,15981300.0,4.189874649,..,..,Africa
2019,South Sudan,..,..,10447666.0,9.409000397,..,..,Africa
2019,Spain,1.39432E+12,29581.51855,47134837.0,9.576940536,..,91.02026367,Europe
2019,St. Kitts and Nevis,1107855556,23219.64193,47712.0,..,..,..,North America
2019,St. Lucia,2092081549,11714.89755,178583.0,14.08432007,..,16.01026917,North America
2019,St. Martin (French part),652206037.1,19691.61671,33121.0,..,..,..,North America
2019,St. Vincent and the Grenadines,910766666.7,8680.251102,104924.0,..,..,..,North America
2019,Sudan,32338079165,748.0109253,43232093.0,..,..,..,Africa
2019,Suriname,4016040575,6690.044786,600301.0,14.08399963,..,..,South America
2019,Sweden,5.3388E+11,51939.42974,10278887.0,14.07531929,..,75.11485291,Europe
